name,z,mag,lookback_distance,luminosity_distance,abs_mag,bocchi_grb_mag
GRB 070309,1.497,19.030000686645508,9538857669.995495,36510996258.58372,-26.214988354824904,6.217882283143581
GRB 061222B,3.355,19.8700008392334,11926066574.927128,97173810996.01553,-27.50061596159434,4.932254676374143
GRB 980425,0.0085,14.09000015258789,122726403.56862041,124294502.98536365,-18.815130081755093,13.617740556213391
GRB 050603,2.821,18.479999542236328,11520916593.42501,78952128137.15945,-28.439690285787925,3.993180352180559
GRB 050730A,3.9672,17.68000030517578,12262410623.858593,118593527740.46945,-30.123175258722384,2.309695379246101
GRB 061121,1.3145,17.020000457763672,9048588884.008492,31115629023.295437,-27.87776309100773,4.555107546960755
GRB 050319,3.2425,17.010000228881836,11851057665.401491,93295801585.71696,-30.272180897343716,2.1606897406247683
GRB 060926,3.2086,19.360000610351562,11827485071.642693,92131113579.42342,-27.89490161594253,4.537969022025955
GRB 060512,0.4428,17.200000762939453,4782925682.327218,8273658487.116451,-24.821357813512257,7.611512824456227
GRB 911125,0.0042,14.300000190734863,60832993.39237236,61216645.6614672,-17.06721807793369,15.365652560034796
GRB 060206,4.0559,17.09000015258789,12302905346.316236,121737254078.55779,-30.769987978988553,1.6628826589799317
GRB 171003A,0.001087,12.84000015258789,15780239.114983276,15805975.827553492,-15.586977038502496,16.845893599465988
GRB 111121A,7e-06,12.458000183105469,101701.48999755213,101702.55785169457,-5.011529819372242,27.421340818596242
GRB 070411,2.9538,17.940000534057617,11634263086.11572,83437854342.0504,-29.09968572690181,3.333184911066674
GRB 060804,1.131,17.31999969482422,8458278159.334062,25856158262.44087,-27.17569091596595,5.257179722002533
GRB 061007,1.2622,12.949999809265137,8891326641.681765,29598499457.129486,-31.839219286537485,0.5936513514309993
GRB 050820A,2.6137,18.469999313354492,11323423933.190966,72017434595.29912,-28.250059544975116,4.182811092993369
GRB 060124,2.3,17.350000381469727,10966187557.63128,61697277744.476135,-29.034200253361917,3.398670384606568
GRB 061021,0.3463,16.81999969482422,3971934962.897478,6198776639.96135,-24.57440086780121,7.858469770167275
GRB 070508,0.82,19.6200008392334,7153823728.580592,17413646517.121418,-24.017318406660564,8.41555223130792
GRB 060708,3.43,17.3700008392334,11973479955.165777,99769849084.11708,-30.05786636115934,2.3750042768091433
GRB 060218,0.03342,17.399999618530273,473843687.20513415,497795351.9243492,-18.51812519114455,13.914745446823936
GRB 060502A,1.5025,18.649999618530273,9552359573.73442,36675879714.38877,-26.604773703962238,5.828096934006247
GRB 030329A,0.16867,16.200000762939453,2174455773.7251873,2746900887.5937657,-23.427084809469633,9.005785828498851
GRB 070506,2.309,19.040000915527344,10977586072.92471,61990180958.41411,-27.35448422904075,5.078386408927734
GRB 070126,2.353,20.40999984741211,11032250266.624334,63424982990.746124,-26.034172573668414,6.398698064300071
GRB 060904B,0.7029,18.3700008392334,6530582496.546111,14425210427.347162,-24.858480570383634,7.574390067584851
GRB 020405,0.6898,21.5,6455323635.562735,14098513998.483788,-21.67873732330702,10.754133314661466
GRB 070419B,0.97,20.350000381469727,7838674939.304574,21402637556.97064,-23.73520672742142,8.697663910547064
GRB 030429A,2.658,23.700000762939453,11367925794.173988,73492143604.40048,-23.064074435918045,9.36879620205044
GRB 060707,3.424,19.790000915527344,11969759650.913197,99561858310.4591,-27.633334678767724,4.79953595920076
GRB 060526,3.2213,17.15999984741211,11836370616.2432,92567227610.26611,-30.105157060534907,2.3277135774335775
GRB 060614,0.125,19.540000915527344,1660716889.1443875,1981565555.757147,-19.37791193137666,13.054958706591826
TYC 3060-166-1,9.6e-05,11.779999732971191,1394671.9030055732,1394872.7406115464,-11.37554382662605,21.057326811342435
GRB 990123,1.6,8.949999809265137,9780744826.461422,39619317645.06577,-36.472405772225244,-4.039535134256759
GRB 070110,2.3521,21.200000762939453,11031149495.048595,63395588126.72759,-25.24316503694738,7.189705601021103
GRB 050406,2.44,18.829999923706055,11135379838.450447,66275467801.62328,-27.70963470954338,4.723235928425105
GRB 050505A,4.27,20.739999771118164,12393752144.65107,129363358852.30698,-27.25192726921194,5.1809433687565445
GRB 050416,0.6535,19.1200008392334,6240458180.968672,13201795449.751554,-23.91603478199859,8.516835855969894
GRB 051111A,1.54948,19.5,9664942454.300129,38089385157.90162,-25.836890435450186,6.595980202518298
GRB 050724A,0.26,19.700000762939453,3152954563.0767064,4457547813.908733,-20.978349912687086,11.454520725281398
GRB 060605A,3.71,16.530000686645508,12134220786.415167,109533072316.50989,-31.10059628460357,1.332274353364916
GRB 060313,0.16,19.65999984741211,2074954740.3968854,2592134553.850339,-19.84115848336529,12.591712154603194
GRB 050802,1.7102,16.969999313354492,10015935153.946527,42990392530.76915,-28.629728363258053,3.8031422747104315
GRB 050318A,1.444,17.579999923706055,9405138155.04083,34928719415.1014,-27.568784017622775,4.864086620345709
GRB 060418,1.49,14.979999542236328,9521573488.60994,36301328523.26431,-30.25248367794132,2.180386960027164
GRB 050726,3.5,17.579999923706055,12015982709.142485,102200291309.49823,-29.900131368769273,2.5327392691992117
GRB 060428B,0.348,19.5,3987133968.750184,6234204712.234444,-21.90677591934903,10.526094718619454
GRB 050801,1.56,15.460000038146973,9689495635.759642,38407135171.8723,-29.894930155290773,2.537940482677712
GRB 051117A,1.549,19.809999465942383,9663816531.64844,38074897669.2082,-25.526064881971955,6.90680575599653
GRB 050824,0.8278,20.459999084472656,7192385336.731123,17616829793.259384,-23.20251033138168,9.230360306586803
GRB 060908,1.884,16.850000381469727,10344267833.840797,48393876236.062675,-29.00682228984512,3.4260483481233663
GRB 051109A,2.346,20.139999389648438,11023669834.25239,63196407267.961075,-26.296333180461417,6.1365374575070675
GRB 060210,3.9122,20.270000457763672,12236389634.92153,116649006906.00731,-27.497275395038855,4.9355952429296295
GRB 060607,3.0738,15.09000015258789,11728956633.383144,87518330126.7617,-32.053365584432605,0.3795050535358797
GRB 050822,1.434,20.81999969482422,9379153163.68877,34631543135.770805,-24.310230146973282,8.122640490995202
GRB 060912,0.937,17.559999465942383,7697743901.704866,20510870514.280407,-26.432791622586265,6.000079015382219
GRB 070518,0.7,19.010000228881836,6514024016.26958,14352749820.823105,-24.20754596927413,8.225324668694356
GRB 060906,3.6856,19.84000015258789,12121152266.782148,108677977029.95876,-27.773578199922426,4.659292438046059
GRB 970331,0.009,14.569999694824219,129897972.9113441,131655555.67582244,-18.46006688129929,13.972803756669194
GRB 050922C,2.1996,14.6899995803833,10833763768.039532,58443498302.070496,-31.57655206344002,0.8563185745284656
GRB 060714,2.7108,18.540000915527344,11419280688.132792,75255036297.4471,-28.27554755620237,4.1573230817661155
GRB 070318,0.8397,15.489999771118164,7250553110.870201,17927755640.38106,-28.21050047298273,4.222370164985755
GRB 000131,4.5,24.700000762939453,12481678591.866087,137612377988.9196,-23.42615735938339,9.006713278585096
GRB 790613,0.1,25.700000762939453,1352015826.7947035,1559782982.9862385,-12.69819075071154,19.734679887256945
GRB 060223A,4.41,17.899999618530273,12448375515.129972,134377768955.75563,-30.174508137018677,2.258362500949808
SN 2008D,0.007,17.5,101180075.38518548,102244333.19122179,-14.981066858599789,17.451803779368696
GRB 051008,2.77,14.109999656677246,11474781449.22065,77238205953.89911,-32.76203185564667,-0.32916121767818396
GRB 061126,1.1588,19.200000762939453,8554967127.998577,26641160862.391613,-25.360635585343793,7.072235052624691
GRB 070208,1.165,19.860000610351562,8576153338.352326,26816835559.830612,-24.71490765821615,7.717962979752336
GRB 070529,2.5,17.25,11202899483.075514,68251411785.64801,-29.353428820055697,3.0794418179127874
GRB 060604,2.68,20.309999465942383,11389541963.244265,74225998842.23117,-26.47565141055557,5.957219227412914
